001  00119 |Loss: 1.232 | Acc: 57.419% 
001  00120 |Loss: 1.226 | Acc: 57.656% 
001  00121 |Loss: 1.219 | Acc: 57.903% 
001  00122 |Loss: 1.212 | Acc: 58.158% 
001  00123 |Loss: 1.206 | Acc: 58.397% 
001  00124 |Loss: 1.199 | Acc: 58.657% 
001  00125 |Loss: 1.192 | Acc: 58.906% 
001  00126 |Loss: 1.186 | Acc: 59.133% 
001  00127 |Loss: 1.180 | Acc: 59.357% 
001  00128 |Loss: 1.175 | Acc: 59.540% 
001  00129 |Loss: 1.169 | Acc: 59.763% 
001  00130 |Loss: 1.163 | Acc: 59.994% 
001  00131 |Loss: 1.156 | Acc: 60.246% 
001  00132 |Loss: 1.150 | Acc: 60.458% 
001  00133 |Loss: 1.145 | Acc: 60.632% 
001  00134 |Loss: 1.139 | Acc: 60.827% 
001  00135 |Loss: 1.134 | Acc: 61.036% 
001  00136 |Loss: 1.129 | Acc: 61.219% 
001  00137 |Loss: 1.125 | Acc: 61.342% 
001  00138 |Loss: 1.118 | Acc: 61.572% 
001  00139 |Loss: 1.113 | Acc: 61.781% 
001  00140 |Loss: 1.107 | Acc: 61.975% 
001  00141 |Loss: 1.102 | Acc: 62.156% 
001  00142 |Loss: 1.097 | Acc: 62.362% 
001  00143 |Loss: 1.092 | Acc: 62.527% 
001  00144 |Loss: 1.087 | Acc: 62.728% 
001  00145 |Loss: 1.083 | Acc: 62.904% 
001  00146 |Loss: 1.079 | Acc: 63.057% 
001  00147 |Loss: 1.073 | Acc: 63.244% 
001  00148 |Loss: 1.069 | Acc: 63.413% 
001  00149 |Loss: 1.064 | Acc: 63.591% 
001  00150 |Loss: 1.059 | Acc: 63.786% 
001  00151 |Loss: 1.055 | Acc: 63.944% 
001  00152 |Loss: 1.050 | Acc: 64.145% 
001  00153 |Loss: 1.044 | Acc: 64.333% 
001  00154 |Loss: 1.040 | Acc: 64.504% 
001  00155 |Loss: 1.036 | Acc: 64.652% 
001  00156 |Loss: 1.032 | Acc: 64.789% 
001  00157 |Loss: 1.028 | Acc: 64.948% 
001  00158 |Loss: 1.023 | Acc: 65.131% 
001  00159 |Loss: 1.019 | Acc: 65.266% 
001  00160 |Loss: 1.014 | Acc: 65.435% 
001  00161 |Loss: 1.010 | Acc: 65.591% 
001  00162 |Loss: 1.005 | Acc: 65.765% 
001  00163 |Loss: 1.001 | Acc: 65.917% 
001  00164 |Loss: 0.997 | Acc: 66.058% 
001  00165 |Loss: 0.993 | Acc: 66.222% 
001  00166 |Loss: 0.990 | Acc: 66.336% 
001  00167 |Loss: 0.986 | Acc: 66.504% 
001  00168 |Loss: 0.981 | Acc: 66.653% 
001  00169 |Loss: 0.978 | Acc: 66.781% 
001  00170 |Loss: 0.974 | Acc: 66.935% 
001  00171 |Loss: 0.970 | Acc: 67.069% 
001  00172 |Loss: 0.966 | Acc: 67.188% 
001  00173 |Loss: 0.963 | Acc: 67.314% 
001  00174 |Loss: 0.959 | Acc: 67.425% 
001  00175 |Loss: 0.955 | Acc: 67.580% 
001  00176 |Loss: 0.952 | Acc: 67.716% 
001  00177 |Loss: 0.948 | Acc: 67.828% 
001  00178 |Loss: 0.944 | Acc: 67.960% 
001  00179 |Loss: 0.940 | Acc: 68.117% 
001  00180 |Loss: 0.937 | Acc: 68.251% 
001  00181 |Loss: 0.933 | Acc: 68.374% 
001  00182 |Loss: 0.929 | Acc: 68.514% 
